排名,标题,回答数,关注数,热度(万),问题链接
16,湖南农民自家承包种植的 1.5 亩生姜被部门铲除，治理耕地「非粮化」痛点怎么破？,189,330,69,https://www.zhihu.com/question/599970016
17,妈妈错怪孩子该怎样道歉？,79,93,68,https://www.zhihu.com/question/600215497
18,低算力大模型（例如lora)的学习路线是什么？,50,689,66,https://www.zhihu.com/question/593383416
19,宁波人向往的生活是什么？,26,32,64,https://www.zhihu.com/question/599753022
20,为什么《英雄联盟》主持人余霜近来风评越来越差？,40,65,62,https://www.zhihu.com/question/599005778
21,所以学习是唯一的出路吗？,71,74,59,https://www.zhihu.com/question/599859418
22,为多 6000 元利息，有人捧着几十万跨省存钱，同一家银行在不同地区利率差距大，跨城存款需注意些什么？,55,223,58,https://www.zhihu.com/question/600191156
23,请问米哈游新游戏《崩坏：星穹铁道》的流水怎么样，相当爆火吗？,78,135,56,https://www.zhihu.com/question/600047031
24,经济数据亮眼，GDP 加速复苏，但人民币汇率却从 6.7 跌至 6.92 左右，什么原因？有何影响？,119,443,54,https://www.zhihu.com/question/600191973
25,如果人人每只手都有 7 根手指，是不是十四进制就是最流行的了？,138,324,54,https://www.zhihu.com/question/397602493
26,22-23 赛季欧冠半决赛AC米兰 0:2 国际米兰，哲科姆希塔良破门，如何评价这场比赛？,43,59,28,https://www.zhihu.com/question/600285081
27,《银河护卫队 3》为什么都在说是系列终章，彩蛋不是说星爵还回归吗?,21,56,23,https://www.zhihu.com/question/599622964
28,天舟六号货运飞船发射成功，将完成什么任务？会给我国航天发展带来哪些改变？,94,246,22,https://www.zhihu.com/question/599752541
29,0~50哪个数字最容易被忽视？,52,100,22,https://www.zhihu.com/question/593868136
30,如何看待罗翔谈女子遭掌掴还手被判定互殴，称「各打五十大板，似乎不合法也不合理」？,1047,1878,19,https://www.zhihu.com/question/600112504
31,法考只看法条可以吗?,15,33,14,https://www.zhihu.com/question/396284350
32,大一大二可以为考研做什么准备？,362,1864,14,https://www.zhihu.com/question/59611334
33,宋江如果抢民女，李逵就杀宋江，董平抢程小姐作妻，李逵为何不管？,80,151,14,https://www.zhihu.com/question/599888719
34,听说玩游戏设置调整要遵循「先保帧率再保分辨率，最后调画质」这句话，是真的吗？,80,144,14,https://www.zhihu.com/question/599358325
35,游客进深圳大学参观被拦，质问「纳税人为什么不让进」，高校校园是否应该对外开放？,1696,2348,14,https://www.zhihu.com/question/599787027
36,深圳去年常住人口减少 1.98 万，近 43 年以来人口首次下降，哪些原因导致的？,182,515,13,https://www.zhihu.com/question/600119191
37,为什么总是觉得自己不配得到所有美好的东西？,249,1362,13,https://www.zhihu.com/question/300322420
38,长期的压力和紧张的工作环境可能会导致职业倦怠和身体问题，应如何平衡？「gap day」在执行上可行吗？,48,249,13,https://www.zhihu.com/question/600119712
39,美国 4 月 CPI 同比上升 4.9%，连续第十次下降，为 2021 年 4 月以来新低，如何解读？,49,127,13,https://www.zhihu.com/question/600244904
40,看球不是很久，想了解一下曼城这支球队目前最大的短板是什么？,37,43,13,https://www.zhihu.com/question/596639865
41,全球最大的硬木纸浆生产商苏萨诺拟用人民币对华交易，如何看待该公司这一举措？,45,211,12,https://www.zhihu.com/question/600119183
42,以中国人用水习惯，什么才算「好水质」？有哪些值得关注的科学原理？,412,476,12,https://www.zhihu.com/question/599927358
43,如何评价《银河护卫队 3》？,24,33,12,https://www.zhihu.com/question/599784522
44,如何评价5月10号发布的尼康Z8微单相机？首发价格27999元，是否值得购买？,55,117,12,https://www.zhihu.com/question/600243522
45,都说做科研要经得起冷板凳，面对压力和付出，作为科研人的你能坚持多久？,44,83,12,https://www.zhihu.com/question/582441701
46,如何理解电影《霸王别姬》中那句：蝶衣，你可真是不疯魔不成活啊？,72,114,12,https://www.zhihu.com/question/318187309
47,都说游泳瘦身，为什么感觉游泳的人都不瘦？,54,82,11,https://www.zhihu.com/question/595694643
48,2023 季中冠军赛 T1 3:0 速通 MAD 晋级胜者组，如何评价这场比赛？,64,74,11,https://www.zhihu.com/question/600223746
49,22-23 赛季 CBA 总决赛G2辽宁再胜浙江，赵继伟 21+9，如何评价这场比赛？,49,56,11,https://www.zhihu.com/question/600231147
50,什么牌子的羽毛球拍耐打？,39,69,10,https://www.zhihu.com/question/598290387
